record_type	engine	engine_label	holdout_dataset	top_k_recurrence	top_k_metastasis	is_baseline	n_recurrence_genes	inner_cv_cindex	outer_cindex_lodo	outer_auroc_lodo	cindex_external	auroc_external	mean_cindex_lodo_baseline	mean_cindex_lodo_full	delta_lodo_full_minus_baseline	model_id	cindex_external_baseline	delta_cindex_external_full_minus_baseline
official_locked	penalized_cox	Penalized Cox	NA	15	5	NA	15	0.703795260100632	0.665	0.634022238102698	0.687	0.625508777380767	0.67	0.665	-0.005	Clinical+Recurrence_top15+Metastasis_top5 (official locked K)	0.686	0.001
lodo_holdout_fold	penalized_cox	Penalized Cox	GSE30219	15	5	FALSE	15	0.699960419490143	0.6998730964467	0.673280423280423	NA	NA	NA	NA	NA	Clinical+Recurrence_top15+Metastasis_top5 (global grid K)	NA	NA
lodo_holdout_fold	penalized_cox	Penalized Cox	GSE31210	15	5	FALSE	15	0.640370383165491	0.6837451824983	0.702345679012345	NA	NA	NA	NA	NA	Clinical+Recurrence_top15+Metastasis_top5 (global grid K)	NA	NA
lodo_holdout_fold	penalized_cox	Penalized Cox	GSE37745	15	5	FALSE	15	0.777743675339977	0.636251541307028	0.575498575498575	NA	NA	NA	NA	NA	Clinical+Recurrence_top15+Metastasis_top5 (global grid K)	NA	NA
lodo_holdout_fold	penalized_cox	Penalized Cox	GSE50081	15	5	FALSE	15	0.697106562406915	0.612192786466645	0.584964274619447	NA	NA	NA	NA	NA	Clinical+Recurrence_top15+Metastasis_top5 (global grid K)	NA	NA
lodo_holdout_fold	penalized_cox	Penalized Cox	GSE30219	15	NA	TRUE	15	NA	0.708121827411168	0.683201058201058	NA	NA	NA	NA	NA	Baseline: Clinical+Recurrence_top15	NA	NA
lodo_holdout_fold	penalized_cox	Penalized Cox	GSE31210	15	NA	TRUE	15	NA	0.684198594423033	0.703333333333333	NA	NA	NA	NA	NA	Baseline: Clinical+Recurrence_top15	NA	NA
lodo_holdout_fold	penalized_cox	Penalized Cox	GSE37745	15	NA	TRUE	15	NA	0.643649815043157	0.578347578347578	NA	NA	NA	NA	NA	Baseline: Clinical+Recurrence_top15	NA	NA
lodo_holdout_fold	penalized_cox	Penalized Cox	GSE50081	15	NA	TRUE	15	NA	0.614427066709224	0.585274930102516	NA	NA	NA	NA	NA	Baseline: Clinical+Recurrence_top15	NA	NA
inner_cv_kr_km	penalized_cox	Penalized Cox	GSE30219	5	5	NA	NA	0.669134495800053	NA	0.701750128222558	NA	NA	NA	NA	NA	NA	NA	NA
inner_cv_kr_km	penalized_cox	Penalized Cox	GSE30219	10	5	NA	NA	0.690671541083366	NA	0.708232707719238	NA	NA	NA	NA	NA	NA	NA	NA
inner_cv_kr_km	penalized_cox	Penalized Cox	GSE30219	15	5	NA	NA	0.699960419490143	NA	0.71468823325747	NA	NA	NA	NA	NA	NA	NA	NA
inner_cv_kr_km	penalized_cox	Penalized Cox	GSE30219	5	10	NA	NA	0.683328151511703	NA	0.709282782172447	NA	NA	NA	NA	NA	NA	NA	NA
inner_cv_kr_km	penalized_cox	Penalized Cox	GSE30219	10	10	NA	NA	0.701678444077139	NA	0.708320584650014	NA	NA	NA	NA	NA	NA	NA	NA
inner_cv_kr_km	penalized_cox	Penalized Cox	GSE30219	15	10	NA	NA	0.694817009184545	NA	0.711213518240005	NA	NA	NA	NA	NA	NA	NA	NA
inner_cv_kr_km	penalized_cox	Penalized Cox	GSE30219	5	15	NA	NA	0.683112906645984	NA	0.709044754372279	NA	NA	NA	NA	NA	NA	NA	NA
inner_cv_kr_km	penalized_cox	Penalized Cox	GSE30219	10	15	NA	NA	0.703007427695982	NA	0.709669893509414	NA	NA	NA	NA	NA	NA	NA	NA
inner_cv_kr_km	penalized_cox	Penalized Cox	GSE30219	15	15	NA	NA	0.715228794624186	NA	0.71927891953174	NA	NA	NA	NA	NA	NA	NA	NA
inner_cv_kr_km	penalized_cox	Penalized Cox	GSE31210	5	5	NA	NA	0.60449485998627	NA	0.599509037754887	NA	NA	NA	NA	NA	NA	NA	NA
inner_cv_kr_km	penalized_cox	Penalized Cox	GSE31210	10	5	NA	NA	0.630648569099234	NA	0.594143890620764	NA	NA	NA	NA	NA	NA	NA	NA
inner_cv_kr_km	penalized_cox	Penalized Cox	GSE31210	15	5	NA	NA	0.640370383165491	NA	0.584553262702931	NA	NA	NA	NA	NA	NA	NA	NA
inner_cv_kr_km	penalized_cox	Penalized Cox	GSE31210	5	10	NA	NA	0.608393303227831	NA	0.601737886283546	NA	NA	NA	NA	NA	NA	NA	NA
inner_cv_kr_km	penalized_cox	Penalized Cox	GSE31210	10	10	NA	NA	0.628509745259798	NA	0.613599750384025	NA	NA	NA	NA	NA	NA	NA	NA
inner_cv_kr_km	penalized_cox	Penalized Cox	GSE31210	15	10	NA	NA	0.639544515007626	NA	0.58783171817114	NA	NA	NA	NA	NA	NA	NA	NA
inner_cv_kr_km	penalized_cox	Penalized Cox	GSE31210	5	15	NA	NA	0.605080957907908	NA	0.598648822701124	NA	NA	NA	NA	NA	NA	NA	NA
inner_cv_kr_km	penalized_cox	Penalized Cox	GSE31210	10	15	NA	NA	0.624604805875291	NA	0.612024496626608	NA	NA	NA	NA	NA	NA	NA	NA
